meta/uid,meta/ll/0,meta/ll/1,meta/sids/0,meta/sids/1,meta/sids/2,meta/sids/3,meta/state,meta/elev,meta/name,data/0,meta/sids/4,meta/sids/5,meta/sids/6,meta/sids/7,meta/sids/8
1329,-114.61667,32.65,03145 1,029646 2,NYL 3,KNYL 5,AZ,213,YUMA MCAS - COOP,98.5,USW00003145 6,NYL 7,,,
1334,-113.9191,32.7225,028396 2,USC00028396 6,TACA3 7,,AZ,324,TACNA 3 NE,99.5,,,,,
1338,-109.1213,32.748,022754 2,USC00022754 6,DUNA3 7,,AZ,3660,DUNCAN,83.5,,,,,
1344,-109.63528,32.85472,93084 1,SAD 3,KSAD 5,USW00093084 6,AZ,3176,SAFFORD MUNICIPAL AP,90.5,,,,,
1349,-114.3942,32.8356,03125 1,029654 2,USW00003125 6,YPGA3 7,AZ,324,YUMA PROVING GROUND,98.5,,,,,
1364,-111.5367,32.9947,021314 2,USC00021314 6,CLGA3 7,,AZ,1419,CASA GRANDE NATL MONUMENT,93.5,,,,,
1368,-113.0316,33.0772,026194 2,USC00026194 6,PDMA3 7,,AZ,568,PAINTED ROCK DAM,99,,,,,
1373,-110.5261,33.1819,027480 2,USC00027480 6,PRDA3 7,,AZ,2532,SAN CARLOS RESERVOIR,87.5,,,,,
1403,-112.0038,33.4277,23183 1,026481 2,PHX 3,72278 4,AZ,1107,PHOENIX AIRPORT,101,KPHX 5,USW00023183 6,PHX 7,,
1408,-109.7516,33.4783,020808 2,USC00020808 6,BRPA3 7,,AZ,6065,BLACK RIVER PUMPS,72.5,,,,,
1421,-112.363,33.4991,024977 2,USC00024977 6,LTCA3 7,,AZ,1040,LITCHFIELD PARK,98.5,,,,,
1425,-111.4425,33.5544,025700 2,USC00025700 6,TRTA3 7,,AZ,1705,MORMON FLAT,92.5,,,,,
1426,-111.5358,33.5575,028214 2,USC00028214 6,AJUA3 7,,AZ,1422,STEWART MOUNTAIN DAM,M,,,,,
1445,-112.3014,33.595,029634 2,USC00029634 6,YOUA3 7,,AZ,1135,YOUNGTOWN,97,,,,,
1447,-111.91056,33.62278,03192 1,SDL 3,KSDL 5,USW00003192 6,AZ,1473,SCOTTSDALE MUNICIPAL AP,98.5,,,,,
1450,-114.2272,33.665,026865 2,USC00026865 6,QUAA3 7,,AZ,875,QUARTZSITE,100,,,,,
1451,-112.08167,33.68833,03184 1,DVT 3,KDVT 5,USW00003184 6,AZ,1455,PHOENIX DEER VALLEY MUNICIPAL AP,95.5,,,,,
1459,-112.523,33.7776,029464 2,USC00029464 6,WITA3 7,,AZ,1683,WITTMANN 1SE,95.5,,,,,
1471,-111.6497,33.8097,020632 2,USC00020632 6,CVCA3 7,,AZ,1650,BARTLETT DAM,90,,,,,
1472,-111.9019,33.8161,021282 2,021363 2,USC00021282 6,USC00021363 6,AZ,2530,CAREFREE,92,CFEA3 7,,,,
1476,-109.1469,33.8492,020159 2,USC00020159 6,ALPA3 7,,AZ,8050,ALPINE,64,,,,,
1486,-109.563,33.9733,028326 2,USC00028326 6,SMTA3 7,,AZ,9370,SUNRISE MOUNTAIN,59.5,,,,,
1499,-109.8588,34.1141,025412 2,USC00025412 6,MNYA3 7,,AZ,7340,MC NARY 2N,68,,,,,
1502,-109.922,34.124,026601 2,USC00026601 6,PNEA3 7,,AZ,7200,PINETOP 2E,70.5,,,,,
1504,-110.9659,34.1003,026653 2,029622 2,USC00026653 6,USC00029622 6,AZ,5183,PLEASANT VALLEY,77,YNGA3 7,,,,
1506,-109.275,34.1311,93038 1,028162 2,USC00028162 6,SPVA3 7,AZ,6998,SPRINGERVILLE,72,,,,,
1512,-111.3446,34.2326,93139 1,026323 2,0E4 3,USW00093139 6,AZ,4850,PAYSON,79,PYSA3 7,0E4 7,,,
1516,-113.5777,34.228,020100 2,USC00020100 6,ALAA3 7,,AZ,1290,ALAMO DAM,94.5,,,,,
1528,-111.4532,34.322,025825 2,USC00025825 6,TNBA3 7,,AZ,4608,NATURAL BRIDGE,77,,,,,
1529,-112.165,34.305,022109 2,USC00022109 6,CORA3 7,,AZ,3771,CORDES,83,,,,,
1539,-110.558,34.3925,023961 2,USC00023961 6,HBRA3 7,,AZ,6590,HEBER (BLACK MESA) RANGER STATION,71.5,,,,,
1564,-112.42083,34.65167,23184 1,026801 2,PRC 3,KPRC 5,AZ,5042,PRESCOTT LOVE FIELD,79.5,USW00023184 6,,,,
1565,-113.1745,34.5975,020586 2,USC00020586 6,BDDA3 7,,AZ,3935,BAGDAD,83,,,,,
1566,-111.1922,34.6108,020871 2,028576 2,USC00020871 6,USC00028576 6,AZ,6880,BLUE RIDGE RANGER STATION,74,BRGA3 7,,,,
1567,-111.838,34.6105,025635 2,USC00025635 6,MTZA3 7,,AZ,3180,MONTEZUMA CASTLE NM,83,,,,,
1577,-113.6124,34.7055,029309 2,USC00029309 6,WUPA3 7,,AZ,2010,WIKIEUP,92,,,,,
1581,-111.4139,34.7433,023828 2,USC00023828 6,HPJA3 7,FGFA3 7,AZ,7480,HAPPY JACK RS,67,,,,,
1582,-112.0263,34.7705,028904 2,022193 2,USC00028904 6,USC00022193 6,AZ,3470,TUZIGOOT,88,TNMA3 7,,,,
1583,-112.1114,34.7522,024453 2,USC00024453 6,JRMA3 7,,AZ,4950,JEROME,83.5,,,,,
1584,-112.4567,34.7569,021654 2,USC00021654 6,CNOA3 7,,AZ,4750,CHINO VALLEY,80.5,,,,,
1586,-109.885,34.7994,026468 2,USC00026468 6,PTFA3 7,,AZ,5446,PETRIFIED FOREST NP,78,,,,,
1594,-112.8097,34.9281,029158 2,USC00029158 6,PALA3 7,,AZ,5090,WALNUT CREEK,80.5,,,,,
1599,-110.7208,35.0281,23194 1,029439 2,INW 3,72374 4,AZ,4886,WINSLOW MUNICIPAL AP,84.5,KINW 5,USW00023194 6,INW 7,,
1600,-111.0231,35.0364,025494 2,USC00025494 6,MTRA3 7,,AZ,5535,METEOR CRATER,74.5,,,,,
1602,-109.7688,35.068,026190 2,USC00026190 6,PAIA3 7,,AZ,5760,PAINTED DESERT NP,82,,,,,
1606,-111.6663,35.1441,03103 1,023010 2,FLG 3,KFLG 5,AZ,7003,FLAGSTAFF PULLIAM AP,71,USW00003103 6,FLG 7,,,
1609,-114.5686,35.1411,021050 2,USC00021050 6,BULA3 7,,AZ,531,BULLHEAD CITY,100,,,,,
1612,-111.5097,35.1721,029156 2,USC00029156 6,WALA3 7,,AZ,6695,WALNUT CANYON N.M.,79.5,,,,,
1614,-109.3222,35.2239,027488 2,USC00027488 6,SANA3 7,,AZ,5853,SANDERS,76,,,,,
1633,-111.5436,35.3694,028329 2,USC00028329 6,SCIA3 7,,AZ,6980,SUNSET CRATER NM,70.5,,,,,
1644,-111.3702,35.5247,029542 2,USC00029542 6,WPTA3 7,,AZ,4908,WUPATKI NM,88.5,,,,,
1675,-112.0947,36.1066,026471 2,024335 2,USC00026471 6,USC00024335 6,AZ,2530,PHANTOM RANCH,94,PHRA3 7,,,,
1679,-112.0619,36.2147,021001 2,USC00021001 6,NRMA3 7,,AZ,8000,BRIGHT ANGEL RS,72.5,,,,,
1698,-110.5411,36.6778,020750 2,USC00020750 6,BETA3 7,,AZ,7286,BETATAKIN,77.5,,,,,
1705,-109.09,36.9233,028468 2,USC00028468 6,TEEA3 7,,AZ,5290,TEEC NOS POS,84.5,,,,,
