city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Houck,AZ,Arizona,4001,Apache,35.2714,-109.2236,1030,9,polygon,FALSE,FALSE,America/Denver,3,86512 86506,1840017677,76
Huachuca City,AZ,Arizona,4003,Cochise,31.6308,-110.3422,1729,236,polygon,FALSE,TRUE,America/Phoenix,3,85616,1840022106,80
Hunter Creek,AZ,Arizona,4007,Gila,34.3054,-111.0159,19,3,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075397,69
Icehouse Canyon,AZ,Arizona,4007,Gila,33.3553,-110.7965,453,35,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840075398,84
Indian Wells,AZ,Arizona,4017,Navajo,35.4089,-110.1061,275,10,polygon,FALSE,FALSE,America/Denver,3,86031,1840022577,78
Jakes Corner,AZ,Arizona,4007,Gila,34.0083,-111.3202,32,8,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022864,82
Jeddito,AZ,Arizona,4017,Navajo,35.7697,-110.1305,326,23,polygon,FALSE,FALSE,America/Denver,3,86034,1840017657,78
Jerome,AZ,Arizona,4025,Yavapai,34.7466,-112.1072,455,203,polygon,FALSE,TRUE,America/Phoenix,3,86331,1840021773,83.5
Joseph City,AZ,Arizona,4017,Navajo,34.9614,-110.3274,1260,65,polygon,FALSE,FALSE,America/Phoenix,3,86032,1840022578,84.5
Kachina Village,AZ,Arizona,4005,Coconino,35.0949,-111.6927,3013,951,polygon,FALSE,FALSE,America/Phoenix,3,86001,1840017663,70.5
Kaibab,AZ,Arizona,4015,Mohave,36.8815,-112.7236,162,9,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840018340,84.5
Kaibito,AZ,Arizona,4005,Coconino,36.592,-111.1071,1712,41,polygon,FALSE,FALSE,America/Denver,3,86053,1840017664,90
