city,lat,lng,station,avg temp F August 2018,zips
Clay Springs,34.3592,-110.3043,LIMESTONE CANYON ,74,85923
Pinetop Country Club,34.1163,-109.891,MC NARY,68,85935
Centennial Park,36.9538,-112.9813,HURRICANE ,83.5,86021 86022
Somerton,32.6009,-114.699,YUMA MCAS - COOP,98.5,85350
Gadsden,32.5564,-114.781,YUMA MCAS - COOP,98.5,85336
Kayenta,36.7144,-110.259,BETATAKIN,77.5,86033
Mammoth,32.6853,-110.7292,ORACLE STATE PARK,83,85623
Anthem,33.856,-112.1168,DEER VALLEY,95.5,85086
Christopher Creek,34.3206,-111.0072,PROMONTORY ,69,85541
Duncan,32.7344,-109.0972,DUNCAN,83.5,85534
Goodyear Village,33.1973,-111.8724,TEMPE,96,85248 85121
Utting,33.8544,-113.9129,QUARTZSITE,100,85325
Saddlebrooke,32.5385,-110.8582,MT. LEMMON FIRE DEPT,67,85739
Padre Ranchitos,32.6497,-114.6417,YUMA MCAS - COOP,98.5,85365
Jeddito,35.7697,-110.1305,HOPI ,78,86034
Nutrioso,33.9515,-109.2058,NUTRIOSO,64,85932
New River,33.8835,-112.0858,CAREFREE,92,85086 85087
Anegam,32.3742,-112.035, CITY,92.5,85634
Joseph City,34.9614,-110.3274,WINSLOW MUNICIPAL AP,84.5,86032
Whispering Pines,34.3728,-111.2813,PAYSON ,82,85541
Tonto Basin,33.8361,-111.3003,BARTLETT DAM,90,85553
Chandler,33.2827,-111.8517,TEMPE,96,85248 85249 85226 85224 85225 85286 85246
Sanders,35.2095,-109.3224,SANDERS,76,86512
Clarkdale,34.7501,-112.0549,TUZIGOOT,88,86326 86324
Elephant Head,31.7659,-110.9921,GREEN VALLEY,88.5,85645
Katherine,35.2206,-114.5615,BULLHEAD CITY,100,86429
Moenkopi,36.1124,-111.2212,WUPATKI NM,88.5,86045
South Komelik,31.7145,-111.7744,SELLES ,92,85634
Oxbow Estates,34.1824,-111.34299999999999,PAYSON ,82,85541
Oatman,35.0273,-114.3839,BULLHEAD CITY,100,86413 86433
Chino Valley,34.7594,-112.4107,CHINO VALLEY,80.5,86323
Buckeye,33.4314,-112.6429,LITCHFIELD PARK,98.5,85326 85396
Aguila,33.9376,-113.1665,SMITH PEAK ,95,85320
Bluewater,34.1681,-114.2667,PARKER,100.5,85344
Klagetoh,35.5011,-109.5283,SANDERS,76,86502 86505
Yucca,34.863,-114.1461,MOSS BASIN ,77.5,86438
Haigler Creek,34.2163,-110.9719,PLEASANT VALLEY ,78.5,85554
Wall Lane,32.6573,-114.7105,YUMA MCAS - COOP,98.5,85365
Gu Oidak,31.9206,-112.0233,SELLES ,92,85634
Bullhead City,35.1205,-114.546,BULLHEAD CITY,100,86442 86429 86430 86439
Gold Canyon,33.3715,-111.4369,APACHE JUNCTION,93,85118 85119
Fortuna Foothills,32.6616,-114.3973,YUMA PROVING GROUND,98.5,85367
Vaiva Vo,32.7167,-111.9269, CITY,92.5,85193
Pisinemo,32.0349,-112.3192,SELLES ,92,85634
McNeal,31.6079,-109.6699,MC NEAL,85,85617
Ali Chuk,31.8169,-112.5584,ORGAN PIPE CACTUS NM,94,85321
Bouse,33.8984,-113.9962,QUARTZSITE,100,85325
Kearny,33.0564,-110.9074,SAN CARLOS RESERVOIR,87.5,85137
Ehrenberg,33.6174,-114.4883,QUARTZSITE,100,85334 85346
Amado,31.6968,-111.0583,TUMACACORI NM,79.5,85645 85646
Cave Creek,33.8513,-111.9801,CAREFREE,92,85087 85331 85327
Wide Ruins,35.4175,-109.4994,SANDERS,76,86502
East Globe,33.3511,-110.7061,GLOBE ,84,85550
Litchfield Park,33.5024,-112.3586,LITCHFIELD PARK,98.5,85340
Gila Crossing,33.273,-112.1627,PHOENIX AIRPORT,101,85339
Kaibab,36.8815,-112.7236,GUNSIGHT,84.5,86022
Haivana Nakya,32.0051,-111.7124,SELLES ,92,85634
Houck,35.2714,-109.2236,SANDERS,76,86512 86506
Rio Rico,31.4957,-110.9886,TUMACACORI NM,79.5,85640 85648
Wickenburg,33.9837,-112.7669,STANTON ,90,85390 85358
Buckshot,32.7404,-114.4829,YUMA QUARTERMASTER DEPOT,97.5,85365
Lake of the Woods,34.1547,-109.9936,LAKESIDE ,73.5,85929
Willcox,32.2515,-109.8359,WILLCOX,81.5,85643 85644
Antares,35.4229,-113.8083,MUSIC MOUNTAIN ,81,86401
Miracle Valley,31.3829,-110.1485,CORONADO NATIONAL MEMORIAL,76.5,85615
Summit,32.0619,-110.9483,TUCSON INTERNATIONAL AIRPORT,93,85756
Cienega Springs,34.2008,-114.2089,PARKER,100.5,85344
Oro Valley,32.4223,-110.9767,CATALINA STATE PARK,87.5,85755 85704 85737
Young,34.1189,-110.9559,PLEASANT VALLEY ,78.5,85554
Munds Park,34.9382,-111.6318,BAR M,71.5,86017 86336
Peach Springs,35.5315,-113.4319,DIAMOND M. RANCH,77,86434
San Tan Valley,33.1879,-111.5473,CASA GRANDE NATL MONUMENT,93.5,85143 85140
Peridot,33.3015,-110.4554,SAN CARLOS #1 ,89,85542
Cowlic,31.8049,-111.9876,SELLES ,92,85634
Golden Shores,34.7819,-114.4777,HAVASU ,98.5,86440 86436
Arivaca,31.575,-111.2926,SASABE ,85,85601
Dudleyville,32.9127,-110.7345,HORSE CAMP CANYON ,88,85192
Lazy Y U,35.1369,-113.9685,MOSS BASIN ,77.5,86401
Chloride,35.4097,-114.1972,UNION PASS ,90,86431
Mesquite Creek,34.9606,-114.5714,HAVASU ,98.5,86440
Washington Park,34.3978,-111.2731,BAKER BUTTE,68.5,85541
Campo Bonito,32.5629,-110.6984,ORACLE STATE PARK,83,85623
Nolic,32.0341,-111.955,SELLES ,92,85634
Bagdad,34.5771,-113.1771,BAGDAD,83,86321
Wintersburg,33.4187,-112.8666,PAINTED ROCK DAM,99,85354
Komatke,33.2953,-112.1615,PHOENIX AIRPORT,101,85339
LeChee,36.871,-111.4328,PAGE MUNICIPAL AP,90,86040
Fredonia,36.9617,-112.5195,BUCKSKIN MOUNTAIN ,81,86022
Lukachukai,36.4112,-109.2267,BEAVER SPRING,70,86507
Comobabi,32.0539,-111.8029,SELLES ,92,85634
Cordes Lakes,34.3103,-112.1073,CORDES,83,86333
Scenic,36.7931,-114.0151,BEAVER DAM,96.5,86432
Sehili,36.2807,-109.1814,BEAVER SPRING,70,86556 86507
Wellton,32.6399,-114.214,YUMA,97.5,85356
Globe,33.3869,-110.7514,GLOBE ,84,85501 85502 85532
Sahuarita,31.9328,-110.9654,GREEN VALLEY,88.5,85629 85614
White Hills,35.7242,-114.4004,TRUXTON CANYON ,85.5,86445 86441
Tempe,33.3881,-111.9318,TEMPE,96,85281 85282 85283 85284 85280 85285 85287
Arizona Village,34.8548,-114.5893,HAVASU ,98.5,86440
York,32.9175,-109.196,GUTHRIE ,77.5,85534
Tat Momoli,32.6012,-111.8862, CITY,92.5,85193
Bisbee,31.4126,-109.9178,BISBEE,75,85603
Kingman,35.217,-114.0105,KINGMAN AIRPORT,87.5,86409 86401
Desert Hills,34.5506,-114.3754,LAKE HAVASU CITY,94,86404
Peoria,33.7844,-112.29899999999999,WITTMANN,95.5,85381 85383 85382 85373 85345 85342 85380 85385
Upper Santan Village,33.1152,-111.7419,CASA GRANDE NATL MONUMENT,93.5,85147
Grand Canyon Village,36.0492,-112.1566,GRAND CANYON VISITOR CENTER,77.5,86023
Williamson,34.7082,-112.5342,CHINO VALLEY,80.5,86323 86305
Rio Verde,33.7278,-111.67399999999999,BARTLETT DAM,90,85263
Prescott Valley,34.5982,-112.3178,PRESCOTT,79,86327 86315 86314 86312
Keams Canyon,35.8229,-110.2011,HOPI ,78,86034
Parks,35.2939,-111.9771,CHALENDER,71,86046 86018
Sawmill,35.8924,-109.1538,WINDOW ROCK AIRPORT,72.5,86504
Tumacacori-Carmen,31.5771,-111.0469,TUMACACORI NM,79.5,85640
Bitter Springs,36.6118,-111.6475,PARIA POINT ,78,86040 86036
